,id,primary_title,release_year
242,tt0031060,At the Circus,1939
243,tt0031067,Bachelor Mother,1939
244,tt0031088,Beau Geste,1939
245,tt0031210,Dark Victory,1939
246,tt0031225,Destry Rides Again,1939
247,tt0031252,Drums Along the Mohawk,1939
248,tt0031322,The Flying Deuces,1939
249,tt0031334,The Four Feathers,1939
250,tt0031359,Gaslight,1940
251,tt0031381,Gone with the Wind,1939
252,tt0031385,"Goodbye, Mr. Chips",1939
253,tt0031397,Gulliver's Travels,1939
254,tt0031398,Gunga Din,1939
255,tt0031448,The Hound of the Baskervilles,1939
256,tt0031455,The Hunchback of Notre Dame,1939
257,tt0031500,It's a Wonderful World,1939
258,tt0031505,Jamaica Inn,1939
259,tt0031507,Jesse James,1939
260,tt0031580,The Little Princess,1939
261,tt0031593,Love Affair,1939
262,tt0031602,Made for Each Other,1939
263,tt0031619,The Man in the Iron Mask,1939
264,tt0031647,Midnight,1939
265,tt0031679,Mr. Smith Goes to Washington,1939
266,tt0031725,Ninotchka,1939
267,tt0031742,Of Mice and Men,1939
268,tt0031762,Only Angels Have Wings,1939
269,tt0031867,The Roaring Twenties,1939
270,tt0031885,The Rules of the Game,1939
271,tt0031951,Son of Frankenstein,1939
272,tt0031971,Stagecoach,1939
273,tt0032022,They Made Me a Criminal,1939
274,tt0032138,The Wizard of Oz,1939
275,tt0032143,The Women,1939
276,tt0032145,Wuthering Heights,1939
277,tt0032155,Young Mr. Lincoln,1939
278,tt0032215,The Ape,1940
279,tt0032234,The Bank Dick,1940
280,tt0032338,Christmas in July,1940
281,tt0032383,Dark Command,1940
282,tt0032390,The Devil Bat,1940
283,tt0032455,Fantasia,1940
284,tt0032475,Flash Gordon Conquers the Universe,1940
285,tt0032484,Foreign Correspondent,1940
286,tt0032520,The Ghost Breakers,1940
287,tt0032536,Go West,1940
288,tt0032551,The Grapes of Wrath,1940
289,tt0032553,The Great Dictator,1940
290,tt0032599,His Girl Friday,1940
291,tt0032617,I Love You Again,1940
292,tt0032635,The Invisible Man Returns,1940
293,tt0032701,The Letter,1940
294,tt0032762,The Mark of Zorro,1940
295,tt0032818,The Mummy's Hand,1940
296,tt0032828,My Little Chickadee,1940
297,tt0032851,Northwest Passage,1940
298,tt0032881,Our Town,1940
299,tt0032904,The Philadelphia Story,1940
300,tt0032910,Pinocchio,1940
301,tt0032943,Pride and Prejudice,1940
302,tt0032976,Rebecca,1940
303,tt0032993,Road to Singapore,1940
