entity_id,img_url
nm0127511,"https://m.media-amazon.com/images/M/MV5BOTNmMTIxNzYtZjMxNC00YTRkLWI0ZWEtNzM1NWIxZTY3ZjJmXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR15,0,214,317_AL_.jpg"
nm0169905,NONE
nm0002271,"https://m.media-amazon.com/images/M/MV5BMzYzODk3NTkwNV5BMl5BanBnXkFtZTgwMzYxMjU0MjE@._V1_UY317_CR6,0,214,317_AL_.jpg"
nm0662032,NONE
nm0000033,"https://m.media-amazon.com/images/M/MV5BMTQxOTg3ODc2NV5BMl5BanBnXkFtZTYwNTg0NTU2._V1_UX214_CR0,0,214,317_AL_.jpg"
nm0280463,"https://m.media-amazon.com/images/M/MV5BMTkxOTkyOTIzN15BMl5BanBnXkFtZTYwOTg0MzM2._V1_UY317_CR134,0,214,317_AL_.jpg"
nm0752193,"https://m.media-amazon.com/images/M/MV5BNzRhOWZhOTUtODcyMi00ODMxLTg0NDItODJmOGVjMzNiMzNhXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_UY317_CR10,0,214,317_AL_.jpg"
nm0395023,"https://m.media-amazon.com/images/M/MV5BMzJjNWQyODctYjllYi00OThjLWFmZDktMzg0YTE3YWRlZDgyXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR3,0,214,317_AL_.jpg"
nm0000036,"https://m.media-amazon.com/images/M/MV5BMTI0MjA4ODk5OF5BMl5BanBnXkFtZTYwNDQyNjI2._V1_UY317_CR12,0,214,317_AL_.jpg"
nm0115669,"https://m.media-amazon.com/images/M/MV5BNGIyMjI2YmItYmMyZi00OGFmLWJhMGQtYmU4ZGNlNjRhNDQyXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_UY317_CR14,0,214,317_AL_.jpg"
nm0000036,"https://m.media-amazon.com/images/M/MV5BMTI0MjA4ODk5OF5BMl5BanBnXkFtZTYwNDQyNjI2._V1_UY317_CR12,0,214,317_AL_.jpg"
